DISTRICT,DPEMALLC,DPEMALLP,YEAR
'182902,79,26.6,2012
'182903,620,17.9,2012
'182904,79,16,2012
'182905,26,15.4,2012
'182906,12,14,2012
'183801,113,50,2012
'183901,78,12.5,2012
'183902,364,13.7,2012
'183904,52,13.9,2012
'184801,83,43.9,2012
'184901,97,18.9,2012
'184902,683,19.8,2012
'184903,1204,16,2012
'184904,112,14.9,2012
'184907,401,8.9,2012
'184908,137,13,2012
'184909,79,9.3,2012
'184911,56,29.3,2012
'185901,68,14.8,2012
'185902,68,12.5,2012
'185903,107,9.8,2012
'185904,31,20.7,2012
'186901,28,25,2012
'186902,262,11.5,2012
'186903,233,41.8,2012
'187901,48,10.5,2012
'187903,58,23.6,2012
'187904,117,12.6,2012
'187906,48,25,2012
'187907,685,17.1,2012
'187910,239,24.2,2012
'188801,294,72.2,2012
'188901,4794,15.9,2012
'188902,264,18.1,2012
'188903,134,14.7,2012
'188904,119,9.3,2012
'189901,49,14.2,2012
'189902,197,14,2012
'190903,268,16.6,2012
'191901,1405,15.8,2012
'192901,84,11.3,2012
'193801,164,63.6,2012
'193902,42,16.8,2012
'194902,55,13.9,2012
'194903,107,14.7,2012
'194904,85,13.1,2012
'194905,62,13.5,2012
'195901,267,12.6,2012
'195902,18,11.5,2012
'196901,31,18.8,2012
'196902,46,10.3,2012
'196903,94,13.4,2012
'197902,25,13.4,2012
'198901,56,12.8,2012
'198902,21,13.4,2012
'198903,110,11.2,2012
'198905,191,19.5,2012
'198906,39,8.8,2012
'199901,1221,9.1,2012
'199902,637,14.3,2012
'200901,140,14.8,2012
'200902,52,13.3,2012
'200904,100,16.9,2012
'200906,17,27.4,2012
'201902,378,12.3,2012
'201903,42,27.1,2012
'201904,45,19.1,2012
'201907,55,14.6,2012
'201908,110,20.4,2012
'201910,172,11.5,2012
'201913,82,12.9,2012
'201914,187,19.8,2012
'202903,138,15.1,2012
'202905,163,24.2,2012
'203901,115,15.7,2012
'203902,98,20.7,2012
'204901,324,19.5,2012
'204904,312,16.8,2012
'205901,358,20.5,2012
'205902,659,15.2,2012
'205903,341,16.5,2012
'205904,221,13.8,2012
'205905,119,11.5,2012
'205906,420,19.2,2012
'205907,157,14.8,2012
'206901,82,12.6,2012
'206902,34,24.6,2012
'206903,32,25.8,2012
'207901,69,12.5,2012
'208901,37,16.7,2012
'208902,384,15.2,2012
'208903,26,10,2012
'209901,41,8.9,2012
'209902,34,21.9,2012
'210901,313,13.6,2012
'210902,103,14.5,2012
'210903,88,12.3,2012
'210904,83,17,2012
'210905,142,23.1,2012
'210906,14,14.6,2012
'211901,51,14.3,2012
'211902,59,10.9,2012
'212801,39,12,2012
'212803,255,83.6,2012
'212901,125,14.1,2012
'212902,291,14.1,2012
'212903,460,12.7,2012
'212904,145,13.7,2012
'212905,2875,16,2012
'212906,600,13.4,2012
'212909,617,18.9,2012
'212910,212,20.6,2012
'213801,96,49,2012
'213901,212,13.2,2012
'214901,1324,13.2,2012
'214902,28,11.2,2012
'214903,834,13.6,2012
'215901,216,14.7,2012
'216901,35,16.6,2012
'217901,21,10.3,2012
'218901,80,9.7,2012
'219901,16,6.8,2012
'219903,112,11.6,2012
'219905,38,17.4,2012
'220801,49,15.9,2012
'220802,44,9.5,2012
'220804,925,79,2012
'220809,22,4.5,2012
'220810,24,4.8,2012
'220811,14,6.8,2012
'220812,282,81,2012
'220813,287,13.7,2012
'220814,11,8.7,2012
'220815,32,13.7,2012
'220816,34,5.6,2012
'220817,0,.,2012
'220901,14628,22.8,2012
'220902,3265,14.6,2012
'220904,970,19.4,2012
'220905,21205,25.6,2012
'220906,1160,8.8,2012
'220907,3184,10.1,2012
'220908,3897,12.5,2012
'220910,609,20.8,2012
'220912,2609,17.4,2012
'220914,425,13.5,2012
'220915,1100,18.6,2012
'220916,3941,18.7,2012
'220917,669,18.9,2012
'220918,2874,17.4,2012
'220919,292,4,2012
'220920,1153,18.8,2012
'221801,5510,57.1,2012
'221901,3749,22.3,2012
'221904,200,18.3,2012
'221905,38,21.2,2012
'221911,116,11.6,2012
'221912,308,9.8,2012
'222901,24,17.6,2012
'223901,269,16.2,2012
'223902,39,14.7,2012
'223904,36,16.4,2012
'224901,14,7.3,2012
'224902,30,27,2012
'225902,794,16.3,2012
'225905,39,23.6,2012
'225906,102,11,2012
'225907,46,11,2012
'226801,169,23,2012
'226901,95,19.8,2012
'226903,3062,21.3,2012
'226905,70,21.3,2012
'226906,89,8.6,2012
'226907,229,21.1,2012
'226908,36,14.2,2012
'227801,317,77.1,2012
'227803,24,12,2012
'227804,59,9,2012
'227805,61,23.9,2012
'227806,1696,84.8,2012
'227814,71,19.6,2012
'227816,238,12.6,2012
'227817,53,28.2,2012
'227818,519,73.8,2012
'227819,7,3.4,2012
'227820,51,5.7,2012
'227821,31,9.3,2012
'227824,28,14.1,2012
'227901,18129,21.7,2012
'227904,3199,14.4,2012
'227907,1321,19.9,2012
'227909,312,4.2,2012
'227910,2333,22.1,2012
'227912,134,10.9,2012
'227913,465,7,2012
'228901,153,19.6,2012
'228903,225,19,2012
'228904,26,16.9,2012
'228905,47,23.7,2012
'229901,111,21.6,2012
'229903,271,20.7,2012
'229904,203,16.9,2012
'229905,97,24.8,2012
'229906,31,16.5,2012
'230901,159,21.6,2012
'230902,431,18.7,2012
'230903,154,18.2,2012
'230904,49,16.8,2012
'230905,129,12.4,2012
'230906,140,14.5,2012
'230908,105,14.4,2012
'231901,70,14.9,2012
'231902,34,16.2,2012
'232801,42,51.2,2012
'232901,42,17.1,2012
'232902,50,10.1,2012
'232903,743,16,2012
'232904,21,10.4,2012
'233901,1293,13.2,2012
'233903,9,4.4,2012
'234801,400,95.5,2012
'234902,264,13.3,2012
'234903,125,14,2012
'234904,214,19.3,2012
'234905,51,11.2,2012
'234906,333,14.9,2012
'234907,400,15.6,2012
'234909,59,16.1,2012
'235901,186,22.7,2012
'235902,3708,26,2012
'235904,24,20.9,2012
'236801,346,98.3,2012
'236901,143,16.3,2012
'236902,779,13.4,2012
'237902,224,15.9,2012
'237904,785,14.9,2012
'237905,316,17.1,2012
'238902,297,15.5,2012
'238904,24,22,2012
'239901,439,9.8,2012
'239903,34,9.7,2012
'240801,338,49.4,2012
'240804,54,8.6,2012
'240901,5138,21.9,2012
'240903,5764,14.4,2012
'240904,31,9.8,2012
'241901,89,9.2,2012
'241902,82,9,2012
'241903,356,10.8,2012
'241904,268,13.4,2012
'241906,47,10.2,2012
'242902,102,29.4,2012
'242903,43,11.3,2012
'242905,30,21,2012
'242906,22,16.1,2012
'243801,91,39.9,2012
'243901,591,18.8,2012
'243902,88,18.8,2012
'243903,192,11.4,2012
'243905,2740,19.4,2012
'243906,180,20.3,2012
'244901,18,16.2,2012
'244903,496,21.9,2012
'244905,18,9.4,2012
'245901,48,10.9,2012
'245902,166,11.7,2012
'245903,314,14.8,2012
'245904,45,16.2,2012
'246801,0,.,2012
'246902,155,15.7,2012
'246904,1545,15.1,2012
'246905,52,13.1,2012
'246906,701,13.5,2012
'246907,124,13.7,2012
'246908,294,11.3,2012
'246909,6485,14.8,2012
'246911,442,15,2012
'246912,69,10.8,2012
'246913,3059,10,2012
'246914,18,15,2012
'247901,559,15.1,2012
'247903,358,11.9,2012
'247904,108,13.5,2012
'247906,146,18.8,2012
'248901,171,14.9,2012
'248902,52,16,2012
'249901,87,12.4,2012
'249902,190,17.5,2012
'249903,292,13.2,2012
'249904,114,19.8,2012
'249905,341,11.6,2012
'249906,130,12.6,2012
'249908,41,16.5,2012
'250902,122,16.5,2012
'250903,198,13.1,2012
'250904,158,14.4,2012
'250905,69,20.5,2012
'250906,123,14.5,2012
'250907,183,13.5,2012
'251901,145,10.5,2012
'251902,78,16,2012
'252901,289,12,2012
'252902,25,13.7,2012
'252903,107,15.7,2012
'253901,298,9.5,2012
'254901,220,12.3,2012
'254902,61,12.6,2012
'1,855216,17.8,2012
'001902,93,15.6,2013
'001903,179,14.8,2013
'001904,132,17.9,2013
'001906,52,13.2,2013
'001907,625,19.9,2013
'001908,313,18.4,2013
'001909,73,17.6,2013
'002901,639,19,2013
'003801,47,9.5,2013
'003902,363,13.9,2013
'003903,1352,17.1,2013
'003904,298,17.1,2013
'003905,203,11.7,2013
'003906,87,19.3,2013
'003907,240,15.9,2013
'004901,551,17.6,2013
'005901,53,10.9,2013
'005902,81,9.6,2013
'005904,17,3.9,2013
'006902,41,11.8,2013
'007901,83,16.5,2013
'007902,355,22.9,2013
'007904,309,18.1,2013
'007905,671,19.6,2013
'007906,247,14.6,2013
'008901,197,9.7,2013
'008902,296,11.6,2013
'008903,103,12.7,2013
'009901,205,14.6,2013
'010901,55,18.6,2013
'010902,317,13.5,2013
'011901,1673,18.3,2013
'011902,614,15.7,2013
'011904,213,12.9,2013
'011905,31,19,2013
'012901,67,12.4,2013
'013801,34,9.7,2013
'013901,589,17.3,2013
'013902,16,12.5,2013
'013903,105,24,2013
'013905,102,12.6,2013
'014801,296,78.9,2013
'014802,107,83.6,2013
'014803,117,43.8,2013
'014804,782,58.1,2013
'014901,130,11.8,2013
'014902,70,18.9,2013
'014903,1398,15.3,2013
'014905,57,9.8,2013
'014906,12600,30.3,2013
'014907,115,13.7,2013
'014908,131,10,2013
'014909,2474,28.1,2013
'014910,216,16.2,2013
'015801,492,71.8,2013
'015802,248,47.6,2013
'015803,40,10.8,2013
'015805,150,23.3,2013
'015806,274,19.6,2013
'015807,543,69.9,2013
'015808,1711,95.6,2013
'015809,106,32.1,2013
'015814,168,68.6,2013
'015815,256,33,2013
'015816,68,28.9,2013
'015817,650,77.8,2013
'015819,359,40,2013
'015820,183,38.6,2013
'015822,1252,50.6,2013
'015823,65,53.7,2013
'015825,47,25.8,2013
'015826,134,14.1,2013
'015827,173,19.3,2013
'015828,179,15.6,2013
'015830,182,17,2013
'015831,122,28,2013
'015832,85,46.7,2013
'015833,47,25.4,2013
'015901,352,7.7,2013
'015904,3216,22.1,2013
'015905,2779,24.4,2013
'015906,177,15.6,2013
'015907,14052,26,2013
'015908,2188,22.5,2013
'015909,682,18.5,2013
'015910,12777,18.6,2013
'015911,1743,18.7,2013
'015912,2454,19.6,2013
'015913,216,22.2,2013
'015914,393,25.7,2013
'015915,18994,19.3,2013
'015916,5557,24.1,2013
'015917,1233,23.6,2013
'016901,77,10.9,2013
'016902,112,12.1,2013
'017901,10,4.9,2013
'018901,163,15.2,2013
'018902,63,12.1,2013
'018903,19,19.2,2013
'018904,81,13.1,2013
'018905,50,26.3,2013
'018906,20,15.4,2013
'018907,65,25,2013
'018908,22,20.2,2013
'019901,133,17.1,2013
'019902,142,15.8,2013
'019903,76,15.4,2013
'019905,238,18.4,2013
'019906,168,15.1,2013
'019907,1382,20.2,2013
'019908,505,19.6,2013
'019909,116,20.7,2013
'019910,17,15.9,2013
'019911,34,7.6,2013
'019912,208,11.3,2013
'019913,20,26,2013
'019914,25,24.3,2013
'020901,2635,15.2,2013
'020902,1457,22.2,2013
'020904,83,11.6,2013
'020905,2421,19.3,2013
'020906,289,15,2013
'020907,486,16.4,2013
'020908,1765,9.6,2013
'020910,40,24.1,2013
'021803,185,45.7,2013
'021805,199,34.6,2013
'021901,1301,12.8,2013
'021902,3634,23.1,2013
'022004,14,12.5,2013
'022901,153,14.6,2013
'022902,14,25.5,2013
'022903,7,36.8,2013
'023902,24,14.4,2013
'024901,171,12.2,2013
'025901,174,16.7,2013
'025902,854,23.7,2013
'025904,75,30.6,2013
'025905,49,19.8,2013
'025906,47,21.1,2013
'025908,68,31.1,2013
'025909,175,14.3,2013
'026901,191,11,2013
'026902,116,25.1,2013
'026903,75,14.5,2013
'027903,519,16.2,2013
'027904,613,15.6,2013
'028902,712,15.5,2013
'028903,160,12,2013
'028906,34,16,2013
'029901,638,15.8,2013
'030901,54,15.9,2013
'030902,250,17.3,2013
'030903,66,22.4,2013
'030906,60,16.8,2013
'031803,42,10.3,2013
'031901,8211,17.3,2013
'031903,4121,22,2013
'031905,560,16.3,2013
'031906,1487,15.2,2013
'031909,279,12,2013
'031911,244,11.7,2013
'031912,2571,22.6,2013
'031913,115,18.4,2013
'031914,232,19.5,2013
'031916,355,10.4,2013
'032902,276,11.8,2013
'033901,19,14.2,2013
'033902,59,9.7,2013
'033904,55,15.4,2013
'034901,279,16.7,2013
'034902,13,10.3,2013
'034903,127,11.8,2013
'034905,136,17.3,2013
'034906,68,15.4,2013
'034907,174,16.5,2013
'034909,42,16.4,2013
'035901,199,17.5,2013
'035902,46,16.8,2013
'035903,9,4.1,2013
'036901,193,16,2013
'036902,461,10.8,2013
'036903,152,12,2013
'037901,89,14.1,2013
'037904,677,14.6,2013
'037907,261,12.6,2013
'037908,40,9.2,2013
'037909,49,15.5,2013
'038901,133,12.4,2013
'039902,99,10.8,2013
'039903,63,14.5,2013
'039904,27,16,2013
'039905,12,12.5,2013
'040901,76,18.9,2013
'040902,43,15.4,2013
'041901,49,17.2,2013
'041902,31,14.3,2013
'042901,172,19.7,2013
'042903,46,17.3,2013
'042905,40,24.5,2013
'043801,0,.,2013
'043901,1212,6.6,2013
'043902,367,16.3,2013
'043903,187,9.7,2013
'043904,195,13.4,2013
'043905,3096,8.2,2013
'043907,3026,12.6,2013
'043908,212,13.5,2013
'043910,5318,10.1,2013
'043911,489,15.6,2013
'043912,497,10.8,2013
'043914,1551,12.4,2013
'043917,93,14.4,2013
'043918,217,13.4,2013
'043919,124,3.6,2013
'044902,74,15.1,2013
'045902,274,17.3,2013
'045903,123,10.6,2013
'045905,60,11.6,2013
'046802,1068,98.1,2013
'046901,1239,15.6,2013
'046902,2606,14.7,2013
'047901,144,12.5,2013
'047902,112,17.6,2013
'047903,44,19,2013
'047905,35,26.9,2013
'048901,57,22.5,2013
'048903,74,32.9,2013
'049901,479,17.7,2013
'049902,33,7.6,2013
'049903,82,12.9,2013
'049905,180,15.7,2013
'049906,55,12.6,2013
'049907,23,4.5,2013
'049908,16,26.7,2013
'049909,13,25,2013
'050901,50,22.7,2013
'050902,322,11.5,2013
'050904,30,18.1,2013
'050909,21,15.1,2013
'050910,1628,21.4,2013
'051901,48,21.2,2013
'052901,151,15.4,2013
'053001,77,10.9,2013
'054901,58,15.3,2013
'054902,80,26,2013
'054903,100,20.2,2013
'055901,63,14.6,2013
'056901,264,15.5,2013
'056902,30,21,2013
'057802,117,16.3,2013
'057803,96,6,2013
'057804,2864,73.8,2013
'057805,6,6.1,2013
'057806,252,16,2013
'057807,214,6,2013
'057808,107,8.6,2013
'057809,10,28.6,2013
'057810,93,26.5,2013
'057811,57,10.2,2013
'057813,121,11.5,2013
'057814,2612,99.2,2013
'057815,237,17,2013
'057816,22,2.4,2013
'057817,84,11.2,2013
'057819,65,39.9,2013
'057825,542,44,2013
'057827,71,12,2013
'057828,2391,80,2013
'057829,72,8.2,2013
'057830,58,7,2013
'057831,67,9.7,2013
'057832,154,64.2,2013
'057833,36,19.6,2013
'057834,758,79.9,2013
'057835,94,17,2013
'057836,38,13,2013
'057837,11,3.3,2013
'057838,125,9.7,2013
'057839,22,5.3,2013
'057840,66,14.3,2013
'057841,20,20,2013
'057842,134,11.4,2013
'057843,98,13.6,2013
'057844,62,15.8,2013
'057845,0,.,2013
'057846,0,.,2013
'057903,4586,17.8,2013
'057904,1374,16.9,2013
'057905,35093,22.4,2013
'057906,1942,21,2013
'057907,2228,17,2013
'057909,8739,15.4,2013
'057910,5489,20.4,2013
'057911,210,3.3,2013
'057912,5962,17.8,2013
'057913,1302,21.2,2013
'057914,6752,17.6,2013
'057916,6575,18.2,2013
'057919,61,5.4,2013
'057922,698,6.9,2013
'058902,20,14.5,2013
'058905,25,11.2,2013
'058906,316,17.8,2013
'058909,29,13.9,2013
'059901,617,15.5,2013
'059902,11,9.8,2013
'060902,129,17.2,2013
'060914,39,21.5,2013
'061802,267,38.3,2013
'061804,30,15.2,2013
'061901,3997,16.5,2013
'061902,5441,10.9,2013
'061903,185,12.5,2013
'061905,164,9.8,2013
'061906,203,16.3,2013
'061907,212,11.6,2013
'061908,362,14.3,2013
'061910,106,6.1,2013
'061911,2148,13.3,2013
'061912,396,10.1,2013
'061914,777,12.9,2013
'062901,350,18.4,2013
'062902,34,26,2013
'062903,225,14.8,2013
'062904,84,15.8,2013
'062905,8,14.8,2013
'062906,10,6.8,2013
'063903,45,16.9,2013
'063906,35,34,2013
'064903,368,16.3,2013
'065901,85,18.2,2013
'065902,25,19.7,2013
'066005,3,10.3,2013
'066901,32,9,2013
'066902,218,17.2,2013
'066903,82,10.3,2013
'067902,173,20.5,2013
'067903,186,16.4,2013
'067904,34,11.4,2013
'067907,95,21.1,2013
'067908,31,16.6,2013
'068801,854,70.9,2013
'068802,35,22.2,2013
'068901,5061,18.3,2013
'069901,27,10.5,2013
'069902,50,17.2,2013
'070801,90,30.2,2013
'070901,31,12.1,2013
'070903,745,13.6,2013
'070905,267,12.1,2013
'070907,118,20.9,2013
'070908,666,9.2,2013
'070909,46,21.5,2013
'070910,149,14.2,2013
'070911,576,10.7,2013
'070912,1253,16.8,2013
'070915,117,11.7,2013
'071801,95,11.4,2013
'071803,324,70.3,2013
'071804,393,61.9,2013
'071806,232,13.3,2013
'071807,15,9.6,2013
'071809,9,8,2013
'071901,1621,14.6,2013
'071902,13094,20.4,2013
'071903,270,11.5,2013
'071904,712,18.3,2013
'071905,7366,17.1,2013
'071906,109,14.2,2013
'071907,806,14,2013
'071908,152,11.9,2013
'071909,6782,15.8,2013
'072801,5265,71.1,2013
'072802,696,94.2,2013
'072901,8,15.1,2013
'072902,169,14.5,2013
'072903,472,13.8,2013
'072904,17,16.8,2013
'072908,21,11.2,2013
'072909,35,16.1,2013
'072910,17,14.8,2013
'073901,92,19,2013
'073903,188,18.8,2013
'073904,3,2.1,2013
'073905,157,21.5,2013
'074903,295,16.3,2013
'074904,29,10,2013
'074905,54,21.2,2013
'074907,82,14.7,2013
'074909,114,13.4,2013
'074911,37,13.4,2013
'074912,70,13.4,2013
'074917,57,12.9,2013
'075901,64,11.7,2013
'075902,173,9.7,2013
'075903,87,12.9,2013
'075906,15,8.1,2013
'075908,19,8,2013
'076903,31,12.6,2013
'076904,42,15.3,2013
'077901,250,28.6,2013
'077902,72,14.4,2013
'078901,28,13.3,2013
'079901,3850,15.6,2013
'079906,249,9.7,2013
'079907,8360,12.2,2013
'079910,447,14.7,2013
'080901,173,11.7,2013
'081902,236,13.9,2013
'081904,153,12.8,2013
'081905,62,13.2,2013
'081906,30,21.1,2013
'082902,187,19.8,2013
'082903,266,12.7,2013
'083901,89,16.8,2013
'083902,19,16.7,2013
'083903,439,17.8,2013
'084801,35,11.6,2013
'084802,68,14.2,2013
'084804,58,24.7,2013
'084805,78,21.7,2013
'084901,1973,21.3,2013
'084902,1189,19.5,2013
'084903,29,16.5,2013
'084904,894,30.8,2013
'084906,1243,20.6,2013
'084908,344,27.8,2013
'084909,475,10.8,2013
'084910,4863,12.8,2013
'084911,296,5.2,2013
'085902,111,14.8,2013
'085903,18,11.2,2013
'086024,2,11.1,2013
'086901,290,10.2,2013
'086902,59,10.6,2013
'087901,16,6.3,2013
'088902,236,17.3,2013
'089901,271,11,2013
'089903,160,16.5,2013
'089905,38,14.8,2013
'090902,44,23.8,2013
'090903,31,15.3,2013
'090904,701,20.1,2013
'090905,5,11.4,2013
'091901,78,10.7,2013
'091902,71,13.3,2013
'091903,830,19,2013
'091905,146,14.8,2013
'091906,1581,22.7,2013
'091907,38,25.5,2013
'091908,127,10.1,2013
'091909,227,15.3,2013
'091910,107,14.4,2013
'091913,156,12.4,2013
'091914,113,14.1,2013
'091917,86,10.9,2013
'091918,95,12.6,2013
'092801,102,48.6,2013
'092901,392,20,2013
'092902,472,12.9,2013
'092903,1803,21.5,2013
'092904,879,19.1,2013
'092906,203,15.8,2013
'092907,281,15,2013
'092908,185,13.1,2013
'093901,106,15,2013
'093903,58,12.4,2013
'093904,365,13.3,2013
'093905,26,19.7,2013
'094901,1991,26,2013
'094902,1741,13.5,2013
'094903,165,10.6,2013
'094904,161,12.3,2013
'095901,118,15.9,2013
'095902,40,29.9,2013
'095903,141,21,2013
'095904,42,16.9,2013
'095905,907,16.4,2013
'096904,95,17.9,2013
'096905,25,11.7,2013
'097902,113,15.2,2013
'097903,71,13,2013
'098901,30,8.2,2013
'098903,9,8.7,2013
'098904,67,8.8,2013
'099902,25,13.2,2013
'099903,59,11.5,2013
'100903,173,13.3,2013
'100904,428,15.6,2013
'100905,235,12,2013
'100907,539,14.1,2013
'100908,126,20.7,2013
'101801,34,26.8,2013
'101802,21,3.9,2013
'101803,63,20.8,2013
'101804,302,41.1,2013
'101805,143,20.5,2013
'101806,178,14,2013
'101807,9,7.7,2013
'101809,97,26.7,2013
'101810,39,14.6,2013
'101811,2409,99.5,2013
'101812,997,71.2,2013
'101813,641,13.3,2013
'101814,115,11.7,2013
'101815,8,4.9,2013
'101819,27,7.5,2013
'101821,85,34.6,2013
'101822,239,84.5,2013
'101828,98,10,2013
'101829,14,20.6,2013
'101833,20,17.2,2013
'101837,152,44.2,2013
'101838,718,46.5,2013
'101840,29,14,2013
'101842,87,65.9,2013
'101845,291,5.6,2013
'101846,391,12.4,2013
'101847,24,6,2013
'101848,279,56.4,2013
'101849,19,9.6,2013
'101850,81,20.5,2013
'101852,59,55.1,2013
'101853,39,7.9,2013
'101854,250,80.4,2013
'101855,29,18.7,2013
'101856,7,3.2,2013
'101858,376,11.6,2013
'101859,32,13.9,2013
'101860,430,28.5,2013
'101861,36,16.2,2013
'101862,54,4.9,2013
'101863,52,26,2013
'101864,53,18.2,2013
'101865,308,41.7,2013
'101867,0,.,2013
'101902,14181,22.7,2013
'101903,12205,26.6,2013
'101905,1407,16.9,2013
'101906,668,13.7,2013
'101907,13302,12.9,2013
'101908,1448,11.7,2013
'101909,1825,27.4,2013
'101910,2820,13.6,2013
'101911,4703,21.6,2013
'101912,37508,19.8,2013
'101913,4613,13.1,2013
'101914,6993,11.6,2013
'101915,7003,15.4,2013
'101916,996,13.4,2013
'101917,8938,17.3,2013
'101919,8697,23.5,2013
'101920,4858,15.3,2013
'101921,1121,10.6,2013
'101924,1214,17.7,2013
'101925,421,13.3,2013
'102901,52,30.2,2013
'102902,849,15.5,2013
'102903,127,15.9,2013
'102904,737,16.7,2013
'102905,120,16.5,2013
'102906,141,14.2,2013
'103901,25,14.7,2013
'103902,28,16.3,2013
'104901,89,15.3,2013
'104903,28,22.2,2013
'104907,32,19.4,2013
'105801,54,30.5,2013
'105802,22,16.2,2013
'105902,1360,18.6,2013
'105904,346,8,2013
'105905,177,9.1,2013
'105906,2057,13.5,2013
'106901,89,11.2,2013
'107901,488,14.9,2013
'107902,518,18.1,2013
'107904,102,16.5,2013
'107905,352,24,2013
'107906,334,25.4,2013
'107907,43,25.4,2013
'107908,34,24.5,2013
'107910,58,14.1,2013
'108801,1055,71.6,2013
'108802,97,14.5,2013
'108804,435,68.6,2013
'108807,894,10.1,2013
'108808,72,6.7,2013
'108809,0,.,2013
'108902,3079,21,2013
'108903,814,16.2,2013
'108904,6207,18.8,2013
'108905,393,13,2013
'108906,4709,18.8,2013
'108907,1173,20.8,2013
'108908,3368,21.5,2013
'108909,6422,21.3,2013
'108910,506,23,2013
'108911,1603,15.9,2013
'108912,6141,21.8,2013
'108913,3508,20.1,2013
'108914,132,21.7,2013
'108915,107,12,2013
'108916,665,14.9,2013
'109901,17,6.2,2013
'109902,31,13.2,2013
'109903,75,27.8,2013
'109904,216,12.6,2013
'109905,66,18.1,2013
'109907,128,18.3,2013
'109908,25,30.1,2013
'109910,25,15.2,2013
